Customer ID,Age,Location,Subscription Status,Previous Purchases,Frequency of Purchases,Avg_no_of_yearly_purchases,Aggregate,Depandancy_Score,aggval,Value,Satisfaction_flag,RFM_Score,Customer_Segment
838,25,Illinois,1,33,Every 3 Months,4,-0.507449094,64.86230866,-2.507449094,70.09946427,Good,241,Need Attention
839,33,Kentucky,1,49,Annually,1,0.564060523,54.21744184,-1.435939477,60.71662745,Good,151,Need Attention
840,48,Illinois,1,10,Every 3 Months,4,-1.972988882,79.42165149,-3.972988882,82.93268616,Average,211,About to Sleep
841,42,Alabama,1,18,Weekly,57,-0.330663564,63.10604031,-2.330663564,68.5514149,Good,421,Potential Loyalist
842,55,Texas,1,28,Fortnightly,28,2.306706252,36.90520179,0.306706252,45.45688525,Average,335,Promising
843,59,Missouri,1,25,Weekly,57,2.814132389,31.86419836,0.814132389,41.01353116,Average,435,Potential Loyalist
844,65,Pennsylvania,1,6,Weekly,57,1.203244502,47.86749572,-0.796755498,55.11951578,Average,414,Recent Customer
845,59,Missouri,1,44,Bi-Weekly,114,3.971195146,20.3694075,1.971195146,30.88153527,Good,552,Loyal Customer
846,31,Michigan,1,30,Monthly,12,-0.801789008,67.78641604,-2.801789008,72.67689646,Average,331,Promising
847,49,Kentucky,1,42,Quarterly,3,1.947400497,40.47470957,-0.052599503,48.60320071,Average,154,At Risk
848,53,New Jersey,1,30,Monthly,12,0.169398171,58.13819822,-1.830601829,64.17254831,Good,332,Promising
849,48,Delaware,1,33,Bi-Weekly,114,4.265338595,17.44725188,2.265338595,28.30582345,Average,544,Champion
850,23,Missouri,1,24,Quarterly,3,0.236837291,57.46822715,-1.763162709,63.58200741,Good,133,At Risk
851,68,Connecticut,1,13,Monthly,12,-2.02087012,79.89732562,-4.02087012,83.3519655,Average,321,Promising
852,35,Massachusetts,1,19,Monthly,12,1.181375623,48.08475117,-0.818624377,55.31101395,Average,325,Promising
853,34,Florida,1,23,Every 3 Months,4,0.151499861,58.31600823,-1.848500139,64.32927759,Good,233,At Risk
854,62,Delaware,1,35,Monthly,12,0.473306637,55.11903247,-1.526693363,61.51132764,Good,342,Loyal Customer
855,21,California,1,22,Monthly,12,-0.38441622,63.6400438,-2.38441622,69.02210821,Good,332,Promising
856,70,Oregon,1,14,Quarterly,3,0.177952244,58.05321815,-1.822047756,64.09764327,Average,124,Need Attention
857,55,Alaska,1,47,Fortnightly,28,1.299611309,46.91014377,-0.700388691,54.27566519,Average,351,Loyal Customer
858,43,Missouri,1,50,Every 3 Months,4,2.020623433,39.74727941,0.020623433,47.96201294,Average,253,At Risk
859,19,Oklahoma,1,33,Weekly,57,0.79218948,51.9511044,-1.20781052,58.71898156,Average,441,Loyal Customer
860,47,Wisconsin,1,7,Monthly,12,-0.198277849,61.79086004,-2.198277849,67.39215926,Good,314,Need Attention
861,26,South Carolina,1,3,Monthly,12,0.115972369,58.66895459,-1.884027631,64.64037947,Good,315,Need Attention
862,46,Virginia,1,35,Every 3 Months,4,2.67124263,33.28373061,0.67124263,42.26476706,Poor,245,At Risk
863,19,Arkansas,1,13,Fortnightly,28,1.09940215,48.89911316,-0.90059785,56.02882712,Good,324,Promising
864,49,Vermont,1,42,Fortnightly,28,1.29128155,46.9928954,-0.70871845,54.34860599,Average,352,Loyal Customer
865,51,Kentucky,1,5,Annually,1,-1.215152746,71.89296056,-3.215152746,76.29657886,Average,113,Lost
866,64,Colorado,1,23,Annually,1,-1.362512839,73.35690315,-3.362512839,77.58695991,Good,131,Lost
867,67,New Mexico,1,11,Bi-Weekly,114,2.5734469,34.25527814,0.5734469,43.12113023,Average,524,Potential Loyalist
868,37,Colorado,1,23,Fortnightly,28,-0.91076375,68.869021,-2.91076375,73.63115035,Average,331,Promising
869,40,North Carolina,1,2,Every 3 Months,4,-0.331075738,63.11013504,-2.331075738,68.55502417,Average,214,About to Sleep
870,38,New Hampshire,1,33,Weekly,57,1.974504307,40.20544792,-0.025495693,48.36586208,Average,443,Loyal Customer
871,66,West Virginia,1,6,Bi-Weekly,114,2.100636317,38.95239482,0.100636317,47.26136796,Poor,513,Recent Customer
872,47,Hawaii,1,45,Quarterly,3,0.888315008,50.99614942,-1.111684992,57.87724376,Average,152,Need Attention
873,56,North Dakota,1,25,Quarterly,3,-0.876250737,68.52615293,-2.876250737,73.3289319,Average,131,Lost
874,51,Mississippi,1,24,Quarterly,3,0.912445763,50.75642345,-1.087554237,57.66593914,Good,134,At Risk
875,25,Maine,1,10,Every 3 Months,4,-0.537320878,65.15906863,-2.537320878,70.36104108,Good,213,About to Sleep
876,37,North Dakota,1,7,Every 3 Months,4,-1.842865042,78.12894173,-3.842865042,81.79323699,Good,212,About to Sleep
877,41,Nebraska,1,1,Weekly,57,-0.367429849,63.47129341,-2.367429849,68.87336446,Average,412,Recent Customer
878,64,Nebraska,1,45,Every 3 Months,4,1.885617086,41.08849424,-0.114382914,49.14421654,Good,253,At Risk
879,23,Tennessee,1,37,Weekly,57,3.729305036,22.77245454,1.729305036,32.99968278,Good,445,Champion
880,62,Wyoming,1,14,Quarterly,3,0.177952244,58.05321815,-1.822047756,64.09764327,Good,124,Need Attention
881,39,Nevada,1,25,Monthly,12,1.132255592,48.57273204,-0.867744408,55.74114096,Average,334,Promising
882,52,South Carolina,1,18,Annually,1,-0.2307533,62.11348604,-2.2307533,67.67653549,Average,123,Need Attention
883,50,Virginia,1,37,Every 3 Months,4,0.065036809,59.17497176,-1.934963191,65.08640445,Average,241,Need Attention
884,28,Pennsylvania,1,30,Monthly,12,-0.126180535,61.07461234,-2.126180535,66.76082818,Good,332,Promising
885,67,Hawaii,1,34,Weekly,57,3.606075698,23.99667117,1.606075698,34.07875921,Good,445,Champion
886,41,Ohio,1,49,Every 3 Months,4,3.598192286,24.07498859,1.598192286,34.14779151,Good,255,At Risk
887,19,Utah,1,48,Monthly,12,1.837735848,41.56416837,-0.162264152,49.56349588,Average,353,Loyal Customer
888,70,Minnesota,1,33,Fortnightly,28,0.921593537,50.66554529,-1.078406463,57.58583527,Average,342,Loyal Customer
889,49,New Hampshire,1,44,Annually,1,2.244751945,37.52068422,0.244751945,45.99939756,Poor,154,At Risk
890,59,Arizona,1,50,Weekly,57,4.418125775,15.92939414,2.418125775,26.96791929,Average,454,Champion
891,52,New York,1,47,Monthly,12,1.641832461,43.51036226,-0.358167539,51.27895366,Good,352,Loyal Customer
892,20,Pennsylvania,1,24,Every 3 Months,4,-1.214941344,71.8908604,-3.214941344,76.29472768,Average,231,Need Attention
893,31,New Mexico,1,43,Monthly,12,1.913857148,40.80794454,-0.086142852,48.89692814,Average,353,Loyal Customer
894,33,Nebraska,1,14,Monthly,12,-0.642651905,66.20547525,-2.642651905,71.28338823,Good,322,Promising
895,44,Wyoming,1,3,Quarterly,3,-1.259151017,72.33005952,-3.259151017,76.6818564,Average,113,Lost
896,40,Mississippi,1,33,Quarterly,3,1.197682718,47.92274903,-0.802317282,55.16821839,Good,144,At Risk
897,69,Arkansas,1,38,Fortnightly,28,0.507668,54.77767097,-1.492332,61.21043714,Good,341,Loyal Customer
898,29,Illinois,1,46,Weekly,57,4.436797286,15.7439028,2.436797286,26.80441937,Average,455,Champion
899,54,Nevada,1,19,Every 3 Months,4,0.296847961,56.8720537,-1.703152039,63.05651486,Average,224,About to Sleep
900,65,Rhode Island,1,20,Annually,1,-0.218976291,61.99648784,-2.218976291,67.57340832,Good,123,Need Attention
901,54,West Virginia,1,42,Quarterly,3,3.045264265,29.56802855,1.045264265,38.98958976,Average,155,At Risk
902,60,Missouri,1,34,Monthly,12,1.459718076,45.31956989,-0.540281924,52.87366595,Good,343,Loyal Customer
903,43,Kentucky,1,5,Monthly,12,-1.561271803,75.33146565,-3.561271803,79.32742298,Average,312,Need Attention
904,44,Washington,1,3,Quarterly,3,-1.89253396,78.62237549,-3.89253396,82.22817041,Average,112,Hibernating
905,69,Alaska,1,46,Every 3 Months,4,3.390511889,26.13818068,1.390511889,35.96637647,Average,255,At Risk
906,46,Mississippi,1,16,Annually,1,-0.073628192,60.55253332,-2.073628192,66.3006456,Average,123,Need Attention
907,41,South Carolina,1,21,Bi-Weekly,114,2.716783006,32.83131168,0.716783006,41.86598583,Good,533,Potential Loyalist
908,32,Missouri,1,34,Bi-Weekly,114,3.067799509,29.34415313,1.067799509,38.79225647,Good,542,Loyal Customer
909,26,New Jersey,1,9,Every 3 Months,4,0.829120327,51.58421646,-1.170879673,58.39559098,Average,215,About to Sleep
910,61,Louisiana,1,36,Weekly,57,2.266635763,37.30328037,0.266635763,45.80776859,Average,443,Loyal Customer
911,49,South Carolina,1,22,Monthly,12,-1.186701281,71.61031069,-3.186701281,76.04743928,Average,331,Promising
912,53,Vermont,1,2,Quarterly,3,-0.737220402,67.14496198,-2.737220402,72.11149165,Average,114,Need Attention
913,24,Arkansas,1,32,Monthly,12,0.814558124,51.72888406,-1.185441876,58.52310713,Average,343,Loyal Customer
914,37,Utah,1,29,Every 3 Months,4,0.017928771,59.64296455,-1.982071229,65.49891314,Average,232,Need Attention
915,43,Washington,1,27,Every 3 Months,4,0.723985764,52.62867132,-1.276014236,59.31621777,Good,233,At Risk
916,31,Rhode Island,1,33,Fortnightly,28,-0.134044701,61.15273857,-2.134044701,66.82969195,Average,341,Loyal Customer
917,49,Illinois,1,16,Monthly,12,-1.222032309,71.96130529,-3.222032309,76.3568208,Average,321,Promising
918,69,Missouri,1,11,Quarterly,3,-0.536434507,65.15026302,-2.536434507,70.35327944,Average,123,Need Attention
919,65,North Carolina,1,11,Fortnightly,28,-0.812523688,67.89305927,-2.812523688,72.77089632,Good,322,Promising
920,41,Massachusetts,1,17,Bi-Weekly,114,3.537739578,24.67555345,1.537739578,34.67715483,Average,524,Potential Loyalist
921,37,Arkansas,1,37,Weekly,57,3.3915008,26.12835639,1.3915008,35.95771692,Good,444,Champion
922,70,South Dakota,1,18,Weekly,57,-0.330663564,63.10604031,-2.330663564,68.5514149,Good,421,Potential Loyalist
923,63,Georgia,1,13,Monthly,12,-0.331848939,63.11781637,-2.331848939,68.56179482,Good,323,Promising
924,55,Arkansas,1,7,Weekly,57,-1.092158352,70.67107798,-3.092158352,75.21955975,Good,411,Recent Customer
925,52,Kansas,1,37,Quarterly,3,1.854619679,41.39643666,-0.145380321,49.41565004,Average,144,At Risk
926,22,Arizona,1,8,Monthly,12,0.504331893,54.81081338,-1.495668107,61.23965027,Good,315,Need Attention
927,54,Massachusetts,1,11,Bi-Weekly,114,2.320093723,36.77220453,0.320093723,45.33965583,Good,523,Potential Loyalist
928,28,New Mexico,1,8,Bi-Weekly,114,2.745796269,32.54308065,0.745796269,41.61192678,Good,514,Recent Customer
929,67,Arkansas,1,31,Every 3 Months,4,-0.265872926,62.46238047,-2.265872926,67.98406583,Average,242,Need Attention
930,59,Nebraska,1,26,Fortnightly,28,2.421605832,35.76373679,0.421605832,44.45074962,Good,335,Promising
931,26,Hawaii,1,20,Bi-Weekly,114,3.576517857,24.29031229,1.576517857,34.33758694,Good,524,Potential Loyalist
932,24,Nebraska,1,24,Fortnightly,28,-0.165928479,61.4694866,-2.165928479,67.10888709,Good,332,Promising
933,62,Indiana,1,45,Bi-Weekly,114,3.027009236,29.74938236,1.027009236,39.14944269,Average,551,Loyal Customer
934,70,Colorado,1,33,Monthly,12,2.066099749,39.29549688,0.066099749,47.56379267,Average,344,Loyal Customer
935,45,Oregon,1,21,Monthly,12,-0.326966431,63.0693113,-2.326966431,68.51904039,Average,332,Promising
936,58,Ohio,1,2,Fortnightly,28,-1.055535113,70.30724596,-3.055535113,74.8988628,Average,312,Need Attention
937,31,Maine,1,28,Weekly,57,2.895136198,31.05946947,0.895136198,40.304209,Average,434,Potential Loyalist
938,32,Iowa,1,18,Quarterly,3,-1.740868095,77.11565739,-3.740868095,80.90008522,Average,121,Hibernating
939,36,Wisconsin,1,21,Fortnightly,28,2.202148425,37.94392708,0.202148425,46.37246176,Good,335,Promising
940,25,New York,1,24,Monthly,12,1.654186206,43.3876345,-0.345813794,51.17077621,Good,335,Promising
941,48,Colorado,1,15,Every 3 Months,4,-1.077923003,70.5296575,-3.077923003,75.09490576,Average,222,About to Sleep
942,39,Illinois,1,38,Every 3 Months,4,0.134263608,58.48724106,-1.865736392,64.48020946,Good,241,Need Attention
943,26,Arizona,1,38,Bi-Weekly,114,5.371532122,6.457819237,3.371532122,18.6192717,Average,545,Champion
944,32,Oklahoma,1,13,Fortnightly,28,0.21266603,57.70835552,-1.78733397,63.79366673,Average,323,Promising
945,54,Indiana,1,39,Bi-Weekly,114,5.694112098,3.253162152,3.694112098,15.79455111,Good,545,Champion
946,38,Minnesota,1,8,Every 3 Months,4,-1.815863773,77.86069877,-3.815863773,81.55679627,Good,212,About to Sleep
947,46,Pennsylvania,1,4,Quarterly,3,-2.710043281,86.74388715,-4.710043281,89.38681503,Average,111,Hibernating
948,57,Indiana,1,6,Every 3 Months,4,-2.207670548,81.75308655,-4.207670548,84.98771184,Average,211,About to Sleep
949,49,Alabama,1,11,Every 3 Months,4,0.587544159,53.98414465,-1.412455841,60.51098941,Good,225,About to Sleep
950,33,Montana,1,49,Monthly,12,1.146903116,48.42721684,-0.853096884,55.6128777,Average,352,Loyal Customer
951,54,New Mexico,1,30,Quarterly,3,-0.361214624,63.40954852,-2.361214624,68.8189399,Good,132,Need Attention
952,47,Alaska,1,34,Monthly,12,0.741884074,52.45086132,-1.258115926,59.15948849,Average,342,Loyal Customer
953,36,Idaho,1,28,Monthly,12,1.171033871,48.18749087,-0.828966129,55.40157307,Average,334,Promising
954,68,Utah,1,36,Quarterly,3,0.603078054,53.82982384,-1.396921946,60.37496451,Average,142,Need Attention
955,60,Louisiana,1,18,Every 3 Months,4,0.39652328,55.88183347,-1.60347672,62.18369278,Average,224,About to Sleep
956,55,Mississippi,1,4,Monthly,12,-0.321507186,63.01507667,-2.321507186,68.47123569,Average,314,Need Attention
957,29,Mississippi,1,42,Quarterly,3,3.087489794,29.14854082,1.087489794,38.6198355,Average,155,At Risk
958,38,Indiana,1,11,Quarterly,3,-2.267681217,82.34926,-4.267681217,85.51320439,Good,121,Hibernating
959,70,Washington,1,31,Bi-Weekly,114,3.282374407,27.2124679,1.282374407,36.91329876,Good,543,Loyal Customer
960,36,Nevada,1,12,Fortnightly,28,1.663558294,43.29452789,-0.336441706,51.0887081,Average,325,Promising
961,18,Louisiana,1,20,Quarterly,3,-0.589001789,65.67249045,-2.589001789,70.81359283,Good,122,Hibernating
962,62,Pennsylvania,1,37,Quarterly,3,1.601266502,43.91336305,-0.398733498,51.63417564,Average,144,At Risk
963,29,Michigan,1,26,Fortnightly,28,1.154839946,48.34836873,-0.845160054,55.54337764,Good,333,Promising
964,21,South Carolina,1,14,Weekly,57,1.039224892,49.49694158,-0.960775108,56.55577843,Poor,423,Potential Loyalist
965,42,Arizona,1,12,Bi-Weekly,114,1.882614168,41.11832661,-0.117385832,49.17051205,Average,522,Potential Loyalist
966,43,Delaware,1,10,Annually,1,-1.037920869,70.132258,-3.037920869,74.74462099,Good,113,Lost
967,58,Kentucky,1,19,Annually,1,-0.414879678,63.94268173,-2.414879678,69.28886611,Good,123,Need Attention
968,27,Georgia,1,4,Weekly,57,-1.21538769,71.8952946,-3.21538769,76.29863618,Average,411,Recent Customer
969,57,North Carolina,1,48,Quarterly,3,2.151633643,38.44576404,0.151633643,46.81480212,Average,153,At Risk
970,40,California,1,37,Monthly,12,0.10505388,58.77742385,-1.89494612,64.73598888,Average,341,Loyal Customer
971,45,California,1,4,Monthly,12,-0.701536952,66.79046625,-2.701536952,71.79902409,Good,313,Need Attention
972,47,Indiana,1,15,Weekly,57,1.277353809,47.13125996,-0.722646191,54.47056637,Good,423,Potential Loyalist
973,61,Colorado,1,33,Weekly,57,2.270083013,37.2690338,0.270083013,45.77758221,Average,443,Loyal Customer
974,60,Colorado,1,30,Quarterly,3,1.243355498,47.46901473,-0.756644502,54.76827775,Average,134,At Risk
975,69,North Carolina,1,23,Monthly,12,1.627184937,43.65587746,-0.372815063,51.40721693,Average,335,Promising
976,58,Washington,1,2,Weekly,57,-0.762683875,67.39792776,-2.762683875,72.33446642,Average,412,Recent Customer
977,34,Florida,1,50,Every 3 Months,4,3.287389319,27.16264747,1.287389319,36.86938492,Average,255,At Risk
978,20,Washington,1,34,Bi-Weekly,114,2.09661233,38.99237095,0.09661233,47.29660462,Good,541,Loyal Customer
979,56,Colorado,1,33,Weekly,57,1.383346893,46.07827616,-0.616653107,53.54242182,Poor,442,Loyal Customer
980,64,New Hampshire,1,34,Monthly,12,-0.018175457,60.00164048,-2.018175457,65.8150653,Average,341,Loyal Customer
981,56,Maryland,1,39,Every 3 Months,4,2.863698767,31.37178329,0.863698767,40.57949564,Good,245,At Risk
982,27,Maryland,1,47,Quarterly,3,1.026768606,49.62068802,-0.973231394,56.66485379,Average,152,Need Attention
983,35,Texas,1,37,Monthly,12,1.414045296,45.77330418,-0.585954704,53.27360659,Average,343,Loyal Customer
984,24,New Mexico,1,40,Bi-Weekly,114,3.567611362,24.37879348,1.567611362,34.41557802,Average,542,Loyal Customer
985,26,Utah,1,8,Bi-Weekly,114,2.745796269,32.54308065,0.745796269,41.61192678,Average,514,Recent Customer
986,32,West Virginia,1,12,Annually,1,0.156170967,58.26960333,-1.843829033,64.28837434,Good,124,Need Attention
987,54,Connecticut,1,36,Monthly,12,2.780486501,32.19845202,0.780486501,41.3081565,Good,345,Loyal Customer
988,62,West Virginia,1,48,Weekly,57,2.717327584,32.82590159,0.717327584,41.86121715,Average,452,Loyal Customer
989,50,Ohio,1,47,Fortnightly,28,3.453113315,25.51626947,1.453113315,35.41819757,Good,354,Loyal Customer
990,70,Texas,1,2,Monthly,12,-2.317884083,82.84799824,-4.317884083,85.95281342,Average,311,Lost
991,48,Washington,1,24,Weekly,57,1.731492882,42.61963461,-0.268507118,50.49382856,Good,433,Potential Loyalist
992,20,Wisconsin,1,40,Bi-Weekly,114,5.763338897,2.565431455,3.763338897,15.18835613,Average,545,Champion
993,46,Louisiana,1,50,Weekly,57,5.051508718,9.637078165,3.051508718,21.42160528,Good,455,Champion
994,51,Iowa,1,25,Weekly,57,2.940808978,30.60573517,0.940808978,39.90426836,Good,435,Potential Loyalist
995,53,New York,1,20,Monthly,12,0.49054289,54.94779964,-1.50945711,61.36039577,Average,323,Promising
996,44,Idaho,1,10,Weekly,57,1.480151698,45.11657293,-0.519848302,52.69473583,Average,414,Recent Customer
997,29,Delaware,1,32,Quarterly,3,2.057417568,39.38174964,0.057417568,47.6398195,Good,145,At Risk
998,64,Kentucky,1,31,Fortnightly,28,0.065305937,59.17229811,-1.934694063,65.08404779,Average,341,Loyal Customer
999,51,Connecticut,1,48,Bi-Weekly,114,6.021574582,0,4.021574582,12.9270761,Average,555,Champion
1000,50,New Mexico,1,23,Monthly,12,-0.990797894,69.6641168,-2.990797894,74.33198149,Average,331,Promising
1001,43,Georgia,1,1,Bi-Weekly,114,0.909991731,50.78080293,-1.090008269,57.68742824,Average,512,Recent Customer
1002,61,Washington,1,4,Fortnightly,28,-0.537051749,65.15639499,-2.537051749,70.35868442,Average,313,Need Attention
1003,55,North Dakota,1,3,Bi-Weekly,114,1.597377213,43.95200103,-0.402622787,51.66823279,Average,513,Recent Customer
1004,56,Ohio,1,3,Bi-Weekly,114,1.977406979,40.17661145,-0.022593021,48.34044439,Good,513,Recent Customer
1005,33,Tennessee,1,44,Annually,1,2.329203004,36.68170876,0.329203004,45.25988902,Good,154,At Risk
1006,43,New York,1,5,Bi-Weekly,114,3.213724345,27.89446904,1.213724345,37.51444347,Average,515,Recent Customer
1007,21,Michigan,1,50,Quarterly,3,2.965695714,30.35849895,0.965695714,39.68634387,Good,154,At Risk
1008,58,Georgia,1,2,Annually,1,-1.296156554,72.69768946,-3.296156554,77.00590102,Good,113,Lost
1009,41,New Mexico,1,29,Annually,1,1.544154197,44.48074282,-0.455845803,52.13428823,Average,135,At Risk
1010,39,Louisiana,1,11,Annually,1,-2.024332308,79.93172059,-4.024332308,83.38228268,Average,121,Hibernating
1011,54,South Dakota,1,37,Fortnightly,28,0.227313553,57.56284032,-1.772686447,63.66540347,Good,341,Loyal Customer
1012,43,Montana,1,32,Fortnightly,28,-0.076594912,60.58200607,-2.076594912,66.32662413,Average,341,Loyal Customer
1013,28,New Mexico,1,27,Annually,1,-0.621124818,65.99161532,-2.621124818,71.09488302,Average,132,Need Attention
1014,59,South Carolina,1,31,Bi-Weekly,114,3.957982879,20.5006642,1.957982879,30.99723049,Average,544,Champion
1015,28,Ohio,1,36,Fortnightly,28,3.24055041,27.62796663,1.24055041,37.27953695,Average,345,Loyal Customer
1016,68,North Carolina,1,34,Weekly,57,0.77696522,52.10234916,-1.22303478,58.85229511,Good,441,Loyal Customer
1017,20,Idaho,1,15,Every 3 Months,4,-1.669080416,76.40248574,-3.669080416,80.2714655,Average,221,About to Sleep
1018,21,Oklahoma,1,14,Annually,1,-0.845464732,68.22031068,-2.845464732,73.05934958,Poor,123,Need Attention
1019,50,Georgia,1,46,Weekly,57,3.550061166,24.55314516,1.550061166,34.56925898,Good,454,Champion
1020,32,Kentucky,1,33,Bi-Weekly,114,4.392015184,16.18878869,2.392015184,27.19656064,Average,544,Champion
1021,24,Delaware,1,41,Annually,1,2.79713108,32.03309715,0.79713108,41.16240571,Good,155,At Risk
1022,55,Massachusetts,1,39,Weekly,57,2.263188512,37.33752693,0.263188512,45.83795496,Good,442,Loyal Customer
1023,61,Nebraska,1,7,Annually,1,-1.836758679,78.06827833,-3.836758679,81.73976569,Good,112,Hibernating
1024,61,Maine,1,29,Every 3 Months,4,1.03134148,49.575259,-0.96865852,56.62481073,Average,234,At Risk
1025,28,Pennsylvania,1,18,Quarterly,3,0.032604145,59.49717268,-1.967395855,65.370406,Average,123,Need Attention
1026,60,Nebraska,1,15,Annually,1,0.532753482,54.52846031,-1.467246518,60.99077231,Good,124,Need Attention
1027,49,Virginia,1,39,Bi-Weekly,114,5.609661039,4.092137615,3.609661039,16.53405965,Average,545,Champion
1028,33,Ohio,1,11,Monthly,12,0.796463349,51.90864582,-1.203536651,58.68155677,Average,325,Promising
1029,45,Nebraska,1,4,Fortnightly,28,-1.550464458,75.22410054,-3.550464458,79.23278683,Average,312,Need Attention
1030,29,Ohio,1,33,Bi-Weekly,114,2.11183659,38.84112618,0.11183659,47.16329107,Average,541,Loyal Customer
1031,58,Kentucky,1,37,Quarterly,3,2.319100504,36.78207162,0.319100504,45.3483531,Average,145,At Risk
1032,22,Tennessee,1,32,Quarterly,3,0.326170858,56.58074662,-1.673829142,62.79974445,Average,142,Need Attention
1033,55,Maine,1,44,Quarterly,3,0.565735032,54.2008065,-1.434264968,60.70196435,Good,152,Need Attention
1034,19,Montana,1,41,Quarterly,3,1.033663108,49.55219489,-0.966336892,56.60448104,Good,153,At Risk
1035,68,Maryland,1,44,Weekly,57,1.680360857,43.12760354,-0.319639143,50.9415739,Good,451,Loyal Customer
1036,61,Georgia,1,32,Annually,1,1.920736712,40.73959981,-0.079263288,48.8366862,Average,145,At Risk
1037,68,Hawaii,1,13,Monthly,12,-0.880780822,68.57115688,-2.880780822,73.36860029,Average,322,Promising
1038,52,Rhode Island,1,48,Quarterly,3,0.378161403,56.06424876,-1.621838597,62.34448134,Average,151,Need Attention
1039,41,Nebraska,1,3,Weekly,57,0.742210928,52.4476142,-1.257789072,59.15662635,Average,414,Recent Customer
1040,29,Michigan,1,39,Monthly,12,0.876890421,51.10964649,-1.123109579,57.9772849,Good,342,Loyal Customer
1041,68,North Carolina,1,7,Fortnightly,28,-1.933941475,79.03373669,-3.933941475,82.59076161,Good,311,Lost
1042,36,Minnesota,1,11,Fortnightly,28,-1.53035769,75.02435071,-3.53035769,79.05671886,Good,321,Promising
1043,55,Maryland,1,47,Weekly,57,4.04154326,19.67053715,2.04154326,30.26552132,Good,454,Champion
1044,28,Hawaii,1,28,Fortnightly,28,1.799999898,41.93905456,-0.200000102,49.89393646,Average,334,Promising
1045,39,Oregon,1,17,Every 3 Months,4,-1.530626818,75.02702435,-3.530626818,79.05907552,Good,221,About to Sleep
1046,54,New Mexico,1,11,Bi-Weekly,114,2.995702195,30.06040083,0.995702195,39.42358756,Average,524,Potential Loyalist
1047,40,Illinois,1,12,Annually,1,-2.292909746,82.59989174,-4.292909746,85.73412183,Good,121,Hibernating
1048,31,Utah,1,7,Fortnightly,28,-1.342784061,73.16090845,-3.342784061,77.41420187,Good,312,Need Attention
1049,30,Maine,1,19,Fortnightly,28,1.219184237,47.7091431,-0.780815763,54.97993707,Average,324,Promising
1050,45,Virginia,1,24,Quarterly,3,-0.945477536,69.21388363,-2.945477536,73.93512689,Average,131,Lost
1051,48,Florida,1,19,Monthly,12,0.252413973,57.31348126,-1.747586027,63.44560783,Average,323,Promising
1052,45,Ohio,1,39,Annually,1,0.885205242,51.02704326,-1.114794758,57.9044749,Average,143,At Risk
1053,60,Virginia,1,1,Fortnightly,28,-1.758144855,77.28729263,-3.758144855,81.05137179,Average,312,Need Attention
1054,59,Kansas,0,10,Bi-Weekly,114,1.546445631,44.45797867,-0.453554369,52.11422294,Average,514,Recent Customer
1055,18,Arkansas,0,48,Quarterly,3,2.376173999,36.2150774,0.376173999,44.84858037,Good,155,At Risk
1056,70,Massachusetts,0,24,Annually,1,-2.25106051,82.18414229,-4.25106051,85.36766264,Average,131,Lost
1057,20,Idaho,0,42,Fortnightly,28,1.262468729,47.27913515,-0.737531271,54.60090984,Average,353,Loyal Customer
1058,65,Wisconsin,0,20,Weekly,57,-1.234435495,72.08452422,-3.234435495,76.46543118,Good,421,Potential Loyalist
1059,29,New Mexico,0,49,Every 3 Months,4,-0.188692663,61.69563642,-2.188692663,67.30822513,Average,251,Need Attention
1060,22,North Carolina,0,25,Monthly,12,-1.598991119,75.70618659,-3.598991119,79.65771791,Poor,331,Promising
1061,27,Iowa,0,21,Every 3 Months,4,-2.042591975,80.11312047,-4.042591975,83.54217623,Average,231,Need Attention
1062,36,Idaho,0,12,Every 3 Months,4,-1.525543868,74.976528,-3.525543868,79.0145659,Good,223,About to Sleep
1063,59,Ohio,0,21,Every 3 Months,4,-0.353570794,63.33361122,-2.353570794,68.75200554,Average,234,At Risk
1064,62,Alabama,0,35,Monthly,12,-1.117850777,70.92631828,-3.117850777,75.44453937,Average,341,Loyal Customer
1065,34,Wyoming,0,42,Every 3 Months,4,-0.884407903,68.60718996,-2.884407903,73.40036137,Average,251,Need Attention
1066,59,Alabama,0,3,Every 3 Months,4,-3.922057299,98.78458898,-5.922057299,100,Good,211,About to Sleep
1067,49,Mississippi,0,11,Bi-Weekly,114,2.713536197,32.86356696,0.713536197,41.894417,Good,525,Potential Loyalist
1068,18,Pennsylvania,0,22,Quarterly,3,-1.661675838,76.32892528,-3.661675838,80.20662618,Average,132,Need Attention
1069,55,Wyoming,0,47,Weekly,57,3.632700673,23.73216648,1.632700673,33.84561357,Poor,455,Champion
1070,38,Maryland,0,33,Every 3 Months,4,0.730503971,52.56391647,-1.269496029,59.2591401,Good,244,At Risk
1071,50,North Carolina,0,50,Weekly,57,3.038096009,29.63924128,1.038096009,39.05235968,Average,454,Champion
1072,61,Pennsylvania,0,46,Monthly,12,1.839371547,41.54791858,-0.160628453,49.54917263,Average,354,Loyal Customer
1073,48,Idaho,0,34,Fortnightly,28,1.890969164,41.03532425,-0.109030836,49.09735025,Poor,345,Loyal Customer
1074,22,California,0,33,Monthly,12,1.572806104,44.19610167,-0.427193896,51.88339345,Good,345,Loyal Customer
1075,48,Tennessee,0,45,Fortnightly,28,1.765727833,42.27952894,-0.234272167,50.19404501,Average,354,Loyal Customer
